t,s,e,c,r,d
1,999,0,1,0,0
2,996,3,1,0,0
3,996,2,2,0,0
4,996,2,2,0,0
5,995,3,1,1,0
6,995,3,1,1,0
7,995,3,1,1,0
8,995,3,1,1,0
9,995,2,1,2,0
10,995,2,1,2,0
11,995,2,1,2,0
12,995,2,1,2,0
13,995,2,1,2,0
14,994,3,1,2,0
15,993,4,1,2,0
16,993,4,1,2,0
17,993,4,1,2,0
18,993,2,3,2,0
19,993,2,3,2,0
20,993,2,2,3,0
21,993,2,2,3,0
22,993,0,4,3,0
23,993,0,4,3,0
24,991,2,4,3,0
25,991,2,4,3,0
26,989,4,3,3,1
27,988,5,3,3,1
28,988,2,5,3,2
29,987,3,5,3,2
30,987,3,5,3,2
31,987,3,5,3,2
32,984,5,6,3,2
33,981,5,8,4,2
34,979,5,10,4,2
35,971,11,11,4,3
36,967,11,14,5,3
37,963,11,13,7,6
38,960,12,15,7,6
39,955,16,14,9,6
40,947,20,18,9,6
41,941,22,19,10,8
42,931,26,23,11,9
43,924,28,24,15,9
44,918,23,31,19,9
45,904,32,33,22,9
46,892,38,33,26,11
47,883,42,38,26,11
48,869,47,44,28,12
49,854,47,55,32,12
50,841,53,57,36,13
51,840,44,61,39,16
52,837,37,64,43,19
53,834,29,69,47,21
54,834,25,63,56,22
55,832,18,67,60,23
56,829,17,66,65,23
57,828,14,61,72,25
58,824,14,58,79,25
59,820,13,56,85,26
60,818,13,52,89,28
61,814,14,51,93,28
62,813,12,49,95,31
63,812,11,46,98,33
64,812,7,40,107,34
65,812,3,44,107,34
66,809,6,41,110,34
67,808,6,38,113,35
68,805,3,41,115,36
69,804,2,40,116,38
70,803,2,38,119,38
71,802,2,36,122,38
72,801,1,32,126,40
73,801,1,30,127,41
74,799,2,27,130,42
75,799,2,24,132,43
76,799,2,21,135,43
77,799,2,20,136,43
78,798,2,21,136,43
79,797,3,20,137,43
80,797,3,19,138,43
81,797,2,16,142,43
82,797,2,13,143,45
83,797,2,13,143,45
84,796,1,13,144,46
85,796,1,12,145,46
86,796,0,12,146,46
87,795,0,11,146,48
88,795,0,11,146,48
89,795,0,10,147,48
90,795,0,10,147,48
91,795,0,10,147,48
92,795,0,10,147,48
93,795,0,10,147,48
94,795,0,10,147,48
95,795,0,10,147,48
96,795,0,10,147,48
97,793,1,10,148,48
98,793,0,8,151,48
99,793,0,8,151,48
100,793,0,7,151,49
101,793,0,6,151,50
102,793,0,6,151,50
103,793,0,6,151,50
104,793,0,4,152,51
105,793,0,3,153,51
106,793,0,3,153,51
107,793,0,3,153,51
108,793,0,3,153,51
109,793,0,2,154,51
110,793,0,2,154,51
111,793,0,1,155,51
112,793,0,1,155,51
113,793,0,1,155,51
114,793,0,1,155,51
115,791,1,1,156,51
116,791,1,1,156,51
117,791,1,1,156,51
118,791,1,1,156,51
119,791,1,1,156,51
120,791,0,2,156,51
121,791,0,2,156,51
122,791,0,2,156,51
123,791,0,2,156,51
124,791,0,2,156,51
125,791,0,2,156,51
126,790,1,2,156,51
127,790,1,1,157,51
128,790,1,1,157,51
129,790,0,2,157,51
130,790,0,2,157,51
131,790,0,2,157,51
132,790,0,2,157,51
133,790,0,2,157,51
134,790,0,2,157,51
135,790,0,2,157,51
136,790,0,2,157,51
137,788,0,4,157,51
138,788,0,4,157,51
139,788,0,4,157,51
140,787,0,5,157,51
141,786,1,5,157,51
142,780,5,6,158,51
143,777,3,10,159,51
144,774,5,8,161,52
145,772,5,9,162,52
146,770,6,9,162,53
147,769,6,10,162,53
148,767,6,12,162,53
149,765,6,13,163,53
150,763,5,15,164,53
151,763,3,15,165,54
152,762,3,15,166,54
153,762,3,14,167,54
154,761,4,14,167,54
155,758,7,14,167,54
156,753,9,15,169,54
157,750,9,17,169,55
158,748,8,16,173,55
159,748,4,19,174,55
160,744,6,20,175,55
161,739,11,19,176,55
162,737,10,20,177,56
163,733,11,22,178,56
164,729,11,22,182,56
165,724,14,21,185,56
166,721,15,22,186,56
167,719,15,22,188,56
168,716,16,22,189,57
169,712,17,25,189,57
170,708,19,24,191,58
171,703,18,26,193,60
172,697,20,28,195,60
173,691,22,28,197,62
174,683,26,31,197,63
175,676,30,30,201,63
176,670,30,34,202,64
