t,s,e,c,r,d
1,998,1,1,0,0
2,998,1,1,0,0
3,998,1,0,1,0
4,998,1,0,1,0
5,998,0,1,1,0
6,998,0,1,1,0
7,998,0,1,1,0
8,997,0,1,2,0
9,996,1,1,2,0
10,995,1,2,2,0
11,992,4,2,2,0
12,991,4,3,2,0
13,988,4,6,2,0
14,982,8,8,2,0
15,978,10,9,3,0
16,972,14,11,3,0
17,967,13,14,6,0
18,953,25,15,7,0
19,945,29,19,7,0
20,938,31,22,8,1
21,926,34,27,11,2
22,912,40,29,16,3
23,906,35,35,21,3
24,898,37,38,24,3
25,886,45,39,27,3
26,868,53,45,30,4
27,851,60,52,33,4
28,835,62,60,36,7
29,811,73,64,45,7
30,784,82,70,54,10
31,758,87,84,60,11
32,732,95,95,65,13
33,720,84,107,75,14
34,697,88,117,82,16
35,670,97,128,88,17
36,647,87,150,98,18
37,616,101,158,105,20
38,595,92,169,123,21
39,567,95,174,134,30
40,536,95,185,150,34
41,510,104,191,160,35
42,481,116,183,182,38
43,464,109,183,199,45
44,436,111,191,212,50
45,412,109,202,225,52
46,386,110,211,234,59
47,371,102,217,244,66
48,351,99,217,260,73
49,333,92,222,277,76
50,320,88,224,288,80
51,300,89,222,304,85
52,286,84,219,322,89
53,274,80,206,348,92
54,264,72,209,362,93
55,258,59,205,379,99
56,249,61,188,401,101
57,240,59,176,419,106
58,231,59,172,432,106
59,226,55,163,449,107
60,218,52,163,460,107
61,207,49,164,471,109
62,204,43,156,482,115
63,196,45,148,492,119
64,193,40,140,504,123
65,190,39,125,519,127
66,188,35,123,527,127
67,180,31,127,534,128
68,180,27,122,541,130
69,175,27,120,548,130
70,173,23,115,559,130
71,171,25,104,569,131
72,170,19,105,575,131
73,168,14,103,583,132
74,164,17,99,586,134
75,159,16,100,591,134
76,158,16,94,595,137
77,158,15,89,600,138
78,154,17,81,610,138
79,153,14,79,614,140
80,152,14,76,616,142
81,151,12,74,619,144
82,149,10,68,627,146
83,146,8,66,632,148
84,145,8,65,633,149
85,145,7,60,639,149
86,143,6,62,639,150
87,143,6,57,640,154
88,142,7,50,643,158
89,142,6,49,645,158
90,141,5,44,650,160
91,140,5,39,655,161
92,140,4,39,655,162
93,140,4,35,659,162
94,140,4,33,661,162
95,140,3,32,662,163
96,139,4,30,663,164
97,139,3,29,665,164
98,139,3,28,666,164
99,138,2,26,669,165
100,138,1,24,672,165
101,138,1,22,673,166
102,138,0,19,677,166
103,137,1,17,679,166
104,137,1,15,680,167
105,137,1,14,681,167
106,137,1,13,682,167
107,136,1,14,682,167
108,136,1,13,683,167
109,136,1,12,684,167
110,134,3,11,685,167
111,134,2,12,685,167
112,134,1,13,685,167
113,134,1,12,686,167
114,134,0,13,686,167
115,134,0,11,688,167
116,134,0,10,689,167
117,134,0,10,689,167
118,134,0,10,689,167
119,134,0,9,690,167
120,134,0,9,690,167
121,134,0,9,690,167
122,134,0,9,690,167
123,134,0,9,690,167
124,134,0,9,690,167
