t,s,e,c,r,d
1,997,1,2,0,0
2,997,1,2,0,0
3,997,1,2,0,0
4,994,2,4,0,0
5,994,2,4,0,0
6,992,3,5,0,0
7,992,3,4,1,0
8,991,2,5,2,0
9,990,1,7,2,0
10,987,3,8,2,0
11,985,5,8,2,0
12,982,8,7,3,0
13,979,8,10,3,0
14,977,10,8,4,1
15,976,10,9,4,1
16,974,8,13,4,1
17,971,9,13,6,1
18,968,10,14,7,1
19,967,8,14,9,2
20,961,14,13,10,2
21,959,13,15,11,2
22,955,15,16,11,3
23,953,14,18,12,3
24,949,16,17,14,4
25,941,16,24,15,4
26,936,19,24,16,5
27,933,18,23,21,5
28,931,18,23,23,5
29,927,20,25,23,5
30,922,23,23,26,6
31,917,23,25,29,6
32,914,21,27,32,6
33,906,26,30,32,6
34,898,27,28,39,8
35,889,27,36,40,8
36,883,24,40,43,10
37,877,25,40,47,11
38,865,31,44,49,11
39,852,32,48,55,13
40,837,39,53,58,13
41,821,46,54,66,13
42,807,54,57,68,14
43,789,63,62,71,15
44,779,60,67,77,17
45,767,61,72,82,18
46,754,61,78,89,18
47,741,64,79,97,19
48,730,59,90,101,20
49,712,66,87,111,24
50,694,69,97,112,28
51,676,74,104,117,29
52,661,72,108,128,31
53,641,79,114,135,31
54,622,85,116,143,34
55,609,75,127,153,36
56,596,72,131,163,38
57,585,74,129,171,41
58,569,71,135,180,45
59,555,78,131,187,49
60,540,70,136,202,52
61,530,66,138,214,52
62,517,71,133,224,55
63,506,65,137,233,59
64,497,61,139,243,60
65,489,57,144,248,62
66,483,50,143,258,66
67,477,45,139,270,69
68,464,43,141,278,74
69,458,38,138,289,77
70,453,33,131,304,79
71,443,37,122,317,81
72,436,32,126,323,83
73,430,29,129,328,84
74,427,26,127,334,86
75,420,28,118,345,89
76,411,32,113,354,90
77,405,31,114,360,90
78,399,31,112,367,91
79,394,30,105,376,95
80,388,30,100,386,96
81,386,27,97,392,98
82,382,28,93,399,98
83,378,24,93,407,98
84,375,21,89,416,99
85,370,22,80,429,99
86,364,22,77,438,99
87,359,22,75,442,102
88,356,19,72,450,103
89,353,17,71,454,105
90,353,14,69,458,106
91,350,12,67,462,109
92,345,15,65,465,110
93,344,13,63,469,111
94,342,12,56,478,112
95,342,10,54,481,113
96,341,9,54,483,113
97,337,10,52,487,114
98,337,9,48,491,115
99,336,9,47,493,115
100,336,8,42,497,117
101,336,7,38,499,120
102,336,6,34,502,122
103,335,4,35,503,123
104,335,3,32,506,124
105,334,4,26,511,125
106,334,3,24,513,126
107,333,4,21,515,127
108,332,4,20,516,128
109,332,3,20,516,129
110,332,2,20,517,129
111,332,2,18,519,129
112,332,2,16,521,129
113,332,1,17,521,129
114,332,1,17,521,129
115,332,1,15,523,129
116,332,1,12,525,130
117,332,1,10,526,131
118,331,2,10,526,131
119,331,0,11,527,131
120,331,0,11,527,131
121,331,0,9,528,132
122,331,0,9,528,132
123,330,1,8,528,133
124,330,1,6,529,134
125,329,2,5,530,134
126,329,2,4,530,135
