t,s,e,c,r,d
1,997,2,1,0,0
2,997,2,1,0,0
3,997,1,2,0,0
4,995,3,2,0,0
5,995,3,2,0,0
6,992,6,2,0,0
7,991,6,3,0,0
8,988,9,3,0,0
9,985,9,6,0,0
10,981,9,9,1,0
11,977,11,8,4,0
12,975,9,11,4,1
13,972,8,15,4,1
14,970,8,15,6,1
15,959,15,16,8,2
16,952,15,20,11,2
17,951,15,20,12,2
18,946,17,22,13,2
19,939,21,22,16,2
20,929,26,25,17,3
21,926,20,31,18,5
22,910,28,37,20,5
23,901,29,43,22,5
24,877,44,46,28,5
25,863,48,52,31,6
26,851,49,59,34,7
27,836,53,67,36,8
28,818,52,76,44,10
29,802,55,81,51,11
30,783,57,92,56,12
31,760,60,100,64,16
32,732,73,107,70,18
33,712,74,114,80,20
34,686,75,127,92,20
35,668,74,132,104,22
36,653,68,148,108,23
37,637,73,145,117,28
38,622,76,139,130,33
39,604,64,156,142,34
40,586,66,149,160,39
41,575,64,149,168,44
42,562,64,153,175,46
43,550,63,157,183,47
44,534,64,157,197,48
45,520,63,164,205,48
46,510,57,163,221,49
47,499,59,155,234,53
48,487,61,148,246,58
49,471,61,146,261,61
50,465,48,154,269,64
51,458,42,157,277,66
52,449,43,151,290,67
53,441,40,151,301,67
54,431,38,150,311,70
55,426,32,149,322,71
56,418,33,143,333,73
57,409,38,134,344,75
58,405,36,128,353,78
59,400,31,122,364,83
60,398,25,117,374,86
61,395,18,117,381,89
62,394,18,110,389,89
63,388,19,101,401,91
64,380,21,97,409,93
65,379,19,90,416,96
66,373,20,87,421,99
67,369,21,85,425,100
68,368,19,81,430,102
69,361,20,80,437,102
70,357,19,71,448,105
71,356,18,65,453,108
72,353,18,63,457,109
73,348,19,64,458,111
74,348,14,65,461,112
75,347,14,63,463,113
76,345,11,63,468,113
77,342,8,67,469,114
78,341,5,65,472,117
79,337,6,65,475,117
80,336,5,63,478,118
81,334,5,60,483,118
82,333,6,56,487,118
83,330,9,52,490,119
84,328,7,54,492,119
85,325,8,53,493,121
86,325,6,53,495,121
87,324,4,50,500,122
88,320,7,47,503,123
89,317,7,45,508,123
90,316,5,44,511,124
91,312,9,38,516,125
92,309,9,36,520,126
93,309,8,35,522,126
94,308,7,35,524,126
95,306,7,33,527,127
96,304,6,35,528,127
97,303,6,33,531,127
98,302,5,33,533,127
99,302,5,29,536,128
100,299,8,28,536,129
101,298,7,27,538,130
102,298,6,25,540,131
103,297,5,24,543,131
104,297,3,23,546,131
105,296,4,22,547,131
106,296,3,21,549,131
107,295,4,17,551,133
108,295,3,15,553,134
109,295,3,13,555,134
110,291,6,14,555,134
111,290,6,15,555,134
112,289,4,17,556,134
113,289,3,18,556,134
114,287,4,18,557,134
115,284,7,17,558,134
116,283,7,16,559,135
117,283,5,18,559,135
118,282,5,17,561,135
119,281,4,17,563,135
120,280,5,15,565,135
121,280,5,15,565,135
122,280,4,15,566,135
123,279,5,13,568,135
124,277,7,11,568,137
125,276,5,14,568,137
126,274,5,15,569,137
127,273,6,14,570,137
128,272,5,15,570,138
129,271,3,18,570,138
130,271,2,19,570,138
131,271,1,20,570,138
132,270,1,19,571,139
133,269,0,18,574,139
134,268,1,17,575,139
135,268,1,15,577,139
136,266,2,15,578,139
137,265,2,16,578,139
138,264,2,15,579,140
139,264,2,14,579,141
140,264,1,11,583,141
141,264,1,11,583,141
142,263,2,10,584,141
143,263,1,10,584,142
144,262,2,10,584,142
145,261,3,9,585,142
146,261,3,8,586,142
147,260,3,9,586,142
148,260,2,8,588,142
149,260,1,7,590,142
150,259,2,6,590,143
151,258,2,5,591,144
152,258,0,6,592,144
153,258,0,5,592,145
154,258,0,4,593,145
155,258,0,4,593,145
156,257,1,4,593,145
157,257,0,5,593,145
158,257,0,5,593,145
159,257,0,5,593,145
160,257,0,5,593,145
161,257,0,5,593,145
162,257,0,5,593,145
163,257,0,5,593,145
164,257,0,4,594,145
165,257,0,4,594,145
166,255,2,3,595,145
167,255,2,3,595,145
168,255,1,4,595,145
169,255,1,3,595,146
170,254,2,3,595,146
171,253,2,3,596,146
172,253,2,3,596,146
173,253,2,3,596,146
174,253,2,3,596,146
175,253,2,3,596,146
176,253,2,2,597,146
177,253,1,2,598,146
178,253,0,3,598,146
179,253,0,2,599,146
180,253,0,2,599,146
181,253,0,2,599,146
182,253,0,1,600,146
183,252,1,1,600,146
184,252,1,1,600,146
185,252,0,2,600,146
186,251,1,2,600,146
187,251,1,2,600,146
188,251,0,3,600,146
189,251,0,3,600,146
190,251,0,3,600,146
