t,s,e,c,r,d
1,16383,0,1,0,0
2,16383,0,1,0,0
3,16383,0,1,0,0
4,16383,0,1,0,0
5,16383,0,1,0,0
6,16383,0,1,0,0
7,16383,0,1,0,0
8,16383,0,1,0,0
9,16383,0,1,0,0
10,16383,0,1,0,0
11,16383,0,1,0,0
12,16383,0,1,0,0
13,16383,0,1,0,0
14,16383,0,1,0,0
15,16383,0,1,0,0
16,16383,0,1,0,0
17,16383,0,1,0,0
18,16383,0,1,0,0
19,16383,0,1,0,0
20,16383,0,1,0,0
21,16383,0,1,0,0
22,16383,0,1,0,0
23,16383,0,1,0,0
24,16383,0,1,0,0
25,16383,0,1,0,0
26,16383,0,1,0,0
27,16383,0,1,0,0
28,16383,0,1,0,0
29,16383,0,1,0,0
30,16383,0,1,0,0
31,16383,0,1,0,0
32,16382,1,1,0,0
33,16382,0,2,0,0
34,16380,2,2,0,0
35,16380,1,3,0,0
36,16379,2,3,0,0
37,16379,1,3,1,0
38,16379,0,4,1,0
39,16379,0,4,1,0
40,16378,0,5,1,0
41,16377,1,5,1,0
42,16376,2,5,1,0
43,16375,2,6,1,0
44,16375,2,5,2,0
45,16375,1,6,2,0
46,16372,4,5,2,1
47,16372,2,6,3,1
48,16371,3,5,4,1
49,16371,3,5,4,1
50,16370,4,5,4,1
51,16370,4,5,4,1
52,16370,4,5,4,1
53,16369,4,5,5,1
54,16368,3,7,5,1
55,16367,4,7,5,1
56,16367,4,7,5,1
57,16365,6,7,5,1
58,16365,5,7,6,1
59,16364,6,6,6,2
60,16364,6,6,6,2
61,16362,7,6,7,2
62,16361,7,6,8,2
63,16359,8,7,8,2
64,16359,6,7,10,2
65,16358,5,9,10,2
66,16357,4,11,10,2
67,16357,4,10,11,2
68,16357,2,10,13,2
69,16356,2,10,14,2
70,16355,2,10,15,2
71,16354,2,11,15,2
72,16354,2,10,16,2
73,16353,3,9,17,2
74,16351,4,10,17,2
75,16345,8,12,17,2
76,16344,9,12,17,2
77,16343,9,12,18,2
78,16339,10,15,18,2
79,16337,10,14,21,2
80,16337,8,16,21,2
81,16336,8,15,22,3
82,16334,9,16,22,3
83,16334,7,17,23,3
84,16333,6,19,23,3
85,16328,10,19,24,3
86,16325,11,19,26,3
87,16325,10,19,27,3
88,16319,15,19,28,3
89,16315,15,21,30,3
90,16314,15,18,34,3
91,16309,17,18,37,3
92,16305,16,20,39,4
93,16303,11,22,44,4
94,16300,11,24,44,5
95,16299,6,30,44,5
96,16298,6,31,44,5
97,16292,11,32,44,5
98,16288,13,34,44,5
99,16286,13,32,48,5
100,16283,13,30,52,6
101,16274,20,28,54,8
102,16273,14,33,55,9
103,16266,16,34,57,11
104,16261,19,36,57,11
105,16253,19,39,62,11
106,16246,21,42,64,11
107,16242,22,43,65,12
108,16235,25,43,68,13
109,16230,20,49,72,13
110,16220,24,51,75,14
111,16216,24,52,78,14
112,16207,28,50,83,16
113,16190,40,50,88,16
114,16185,38,55,90,16
